State,District,Mine_Name,Latitude,Longitude,CO2_ppm,CH4_ppm,PM2_5,PM10,Emission_Score,Hotspot_Level
Chhattisgarh,Korba,Gevra,22.331,82.614,419.179547944477,1.9628461667406651,48.634162303091394,210.541030412298,207.1369519351214,Red
Chhattisgarh,Korba,Kusmunda,22.25,82.52,437.2728837231665,2.0912516073820604,34.49881662758529,166.99942296466324,205.76126491031852,Red
Chhattisgarh,Korba,Dipka,22.418,82.721,439.3229621032261,2.1549895112327526,60.88123838079744,114.78899907683387,202.72621731330497,Red
Chhattisgarh,Raigarh,Jampali,21.977,83.352,395.1452649726928,1.758244308762645,14.892300142863387,31.069815341258263,165.4798966043242,Yellow
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,433.7085434811532,1.770433986714874,34.78277642217887,171.9396492528229,205.02291143972602,Red
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,416.251354137129,1.8831695237091333,59.22198400628282,141.75790611842345,197.2124760306703,Orange
Jharkhand,Dhanbad,Jharia,23.77,86.42,450.7664448996866,1.819627573193208,19.15328313162689,170.72755590743031,209.33459208769114,Red
Jharkhand,Dhanbad,Bhowra,23.75,86.43,408.4273331930034,1.955615754809598,48.39724259995337,52.09529483151422,179.0314986183644,Yellow
Jharkhand,Bokaro,Kargali,23.82,85.92,458.634531190693,1.9283190414250435,77.62003427631527,98.29968219100964,210.4202656588035,Red
Jharkhand,Bokaro,Kathara,23.91,85.92,403.27015053620994,1.7047858814367385,75.58908748682292,123.15830023424726,191.63160413707553,Orange
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,408.6676005535151,1.962051535466495,39.382371599240905,121.90413080005828,188.24863104194085,Yellow
Odisha,Angul,Talcher,20.95,85.23,440.5851784569979,2.0906880266277788,95.56335957981229,98.2892772698354,205.93917331823462,Red
Odisha,Angul,Bhubaneswari,20.94,85.19,437.00651253514815,1.73897846490391,64.92400395918206,63.97949636829426,194.65982360265193,Orange
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,431.0772931915175,2.140261248859897,58.11865224431325,104.88377236368147,197.52335934246418,Orange
Odisha,Sundargarh,Basundhara,21.93,83.73,435.2409029670998,2.021394551853385,47.86940370729257,112.99166666900796,198.83194010884102,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,392.2591659077299,1.99644290119098,30.46155908946264,140.15557306275122,183.09516905628132,Yellow
